Mode    UserNam    Mod Time     Size      Path
33188   tbroderi   2019-03-10   12537     Week6/inaugural_addresses/george_bush_inaugural_address.txt
33188   tbroderi   2019-03-10   7100      Week6/inaugural_addresses/andrew_jackson_second_inaugural_address.txt
33188   tbroderi   2019-03-10   22990     Week6/inaugural_addresses/herbert_hoover_inaugural_address.txt
33188   tbroderi   2019-03-10   11989     Week6/inaugural_addresses/george_w._bush_second_inaugural_address.txt
33188   tbroderi   2019-03-10   19923     Week6/inaugural_addresses/james_monroe_first_inaugural_address.txt
33188   tbroderi   2019-03-10   3062      Week6/inaugural_addresses/franklin_d._roosevelt_fourth_inaugural_address.txt
33188   tbroderi   2019-03-10   7037      Week6/inaugural_addresses/james_madison_first_inaugural_address.txt
33188   tbroderi   2019-03-10   12950     Week6/inaugural_addresses/thomas_jefferson_second_inaugural_address.txt
33188   tbroderi   2019-03-10   12298     Week6/inaugural_addresses/william_jefferson_clinton_second_inaugural_address.txt
33188   tbroderi   2019-03-10   14587     Week6/inaugural_addresses/ronald_reagan_second_inaugural_address.txt
33188   tbroderi   2019-03-10   10939     Week6/inaugural_addresses/franklin_d._roosevelt_first_inaugural_address.txt
33188   tbroderi   2019-03-10   17772     Week6/inaugural_addresses/john_quincy_adams_inaugural_address.txt
33188   tbroderi   2019-03-10   5609      Week6/inaugural_addresses/theodore_roosevelt_inaugural_address.txt
33152   tbroderi   2019-03-10   96743     Week6/lab3_output.txt
16877   tbroderi   2019-03-30   73        Week7
33188   tbroderi   2019-03-30   2227      Week7/Week7.zip
33188   tbroderi   2019-03-30   1180      Week7/week7.txt
33188   tbroderi   2019-03-30   2307      Week7/week7.rb
16877   tbroderi   2019-03-31   90        Week8
33188   tbroderi   2019-03-31   4113      Week8/lab4.rb
33188   tbroderi   2019-03-31   3397      Week8/test.rb
33152   tbroderi   2019-03-30   1960      Week8/example.rb
33188   tbroderi   2019-03-30   727       Week8/wtf.rb
33152   tbroderi   2019-03-31   2569      Week8/lab4output.txt
16877   tbroderi   2019-04-20   6         Week9
16877   tbroderi   2019-04-20   67        Week10
33188   tbroderi   2019-04-20   7864      Week10/dungeon.rb
33188   tbroderi   2019-04-20   3241      Week10/dungeon_output.txt
16877   tbroderi   2019-04-20   118       Week11
33188   tbroderi   2019-04-20   2107      Week11/more_exceptions.rb
33188   tbroderi   2019-04-20   3046      Week11/more_exceptions_output.txt
33188   tbroderi   2019-04-20   1282      Week11/too_many_zs.rb
33188   tbroderi   2019-04-20   2009      Week11/too_many_zs_output.txt
16877   tbroderi   2019-04-21   52        Week12
33188   tbroderi   2019-04-21   1916      Week12/week12_files.rb
33152   tbroderi   2019-04-21   0         Week12/wk12_output.txt
